algorithm,layer,utility,mean_violation,cvar,power_violation
wideband_pgd,2,-76114456.0,720491.5625,8163388.0,0.0
wideband_pgd,3,-47392812.0,444843.28125,5090022.5,0.0
wideband_pgd,4,-54882808.0,514568.65625,5895536.5,0.0
wideband_pgd,5,-53446228.0,501110.46875,5741197.5,0.0
wideband_pgd,6,-54096024.0,507145.84375,5811106.0,0.0
wideband_pgd,7,-54108996.0,507249.03125,5812534.0,0.0
wideband_pgd,8,-54210544.0,508186.03125,5823470.5,0.0
wideband_pgd,9,-54246572.0,508516.75,5827354.0,0.0
wideband_pgd,10,-54273112.0,508761.09375,5830213.0,0.0
scenario_adaptive_unfolded,1,-59165.12109375,5652.91357421875,42463.6796875,1.7029899268550253e-08
scenario_adaptive_unfolded,2,-283578.5625,2105.75390625,18877.58984375,0.0
scenario_adaptive_unfolded,3,-5591.22265625,2105.739501953125,18877.451171875,0.0
scenario_adaptive_unfolded,4,-159203.03125,1962.2357177734375,17609.8359375,0.0
scenario_adaptive_unfolded,5,-93566.375,813.1038208007812,9484.552734375,0.0
scenario_adaptive_unfolded,6,-5384.13525390625,406.9059143066406,4204.2080078125,0.0
scenario_adaptive_unfolded,7,-346.2509765625,4.92748498916626,50.21531295776367,0.0
scenario_adaptive_unfolded,8,-17.728836059570312,0.3323661684989929,3.8772780895233154,0.0
risk_neutral_pgd,1,21.84123992919922,2239.66796875,12882.3134765625,3.689811478579941e-08
risk_neutral_pgd,2,44.77841567993164,2152.882080078125,11965.3525390625,0.0
risk_neutral_pgd,3,46.60160446166992,1981.6441650390625,11086.55859375,0.0
risk_neutral_pgd,4,48.532501220703125,1875.7525634765625,10059.896484375,0.0
risk_neutral_pgd,5,49.84930419921875,1791.0413818359375,9273.986328125,0.0
risk_neutral_pgd,6,47.66554260253906,1657.0836181640625,8222.2734375,0.0
risk_neutral_pgd,7,51.05165481567383,1662.2392578125,8046.47314453125,0.0
risk_neutral_pgd,8,50.0971794128418,1759.5743408203125,7796.89453125,0.0
risk_neutral_pgd,9,52.3186149597168,1835.5142822265625,7864.8310546875,0.0
risk_neutral_pgd,10,51.972412109375,1809.66162109375,8298.2490234375,0.0
wideband_pgd,1,-82695.2109375,1406.03564453125,7702.96826171875,2.554484801464696e-08
wideband_pgd,2,-6226638.5,87549.0546875,614177.5625,0.0
wideband_pgd,3,-5238536.0,59039.46875,544120.0,0.0
wideband_pgd,4,-5449586.0,62534.375,563948.0,0.0
wideband_pgd,5,-5402407.5,61811.54296875,559405.6875,0.0
wideband_pgd,6,-5417113.0,62091.51953125,560719.0,0.0
wideband_pgd,7,-5414639.0,62075.30859375,560440.25,0.0
wideband_pgd,8,-5415811.5,62109.484375,560522.625,0.0
wideband_pgd,9,-5415808.0,62118.65625,560505.125,0.0
wideband_pgd,10,-5415969.5,62126.62890625,560510.25,0.0
scenario_adaptive_unfolded,1,-10757.8271484375,1406.03564453125,7702.96826171875,2.554484801464696e-08
scenario_adaptive_unfolded,2,-26650.58984375,388.9224853515625,1736.432861328125,0.0
scenario_adaptive_unfolded,3,-547.4213256835938,388.9210205078125,1736.4169921875,0.0
scenario_adaptive_unfolded,4,-16385.9765625,367.78466796875,1646.154296875,0.0
scenario_adaptive_unfolded,5,-703.4006958007812,7.080460071563721,71.02085876464844,0.0
scenario_adaptive_unfolded,6,-754.97998046875,59.0056266784668,386.2022705078125,0.0
scenario_adaptive_unfolded,7,-22.75438690185547,0.47759994864463806,5.158785820007324,0.0
scenario_adaptive_unfolded,8,4.44926118850708,0.07277926057577133,0.8733510971069336,0.0
risk_neutral_pgd,1,25.89371681213379,7741.98974609375,72545.5703125,1.7029899268550253e-08
risk_neutral_pgd,2,51.91951370239258,7721.03369140625,71473.71875,0.0
risk_neutral_pgd,3,54.078216552734375,7513.84814453125,65198.203125,0.0
risk_neutral_pgd,4,57.54570388793945,6391.65380859375,54729.6875,0.0
risk_neutral_pgd,5,56.47551345825195,6118.75244140625,50241.0,0.0
risk_neutral_pgd,6,58.59926223754883,6537.31201171875,55036.359375,0.0
risk_neutral_pgd,7,58.76557540893555,6705.294921875,58023.71875,0.0
risk_neutral_pgd,8,59.2420768737793,6418.84033203125,54914.140625,0.0
risk_neutral_pgd,9,62.01472091674805,6954.51318359375,59554.2421875,0.0
risk_neutral_pgd,10,60.67544937133789,6283.70703125,52996.8828125,0.0
wideband_pgd,1,-489938.125,4658.3447265625,52510.8203125,1.7029899268550253e-08
wideband_pgd,2,-15439405.0,149618.015625,1649395.875,0.0
wideband_pgd,3,-10158601.0,99084.0,1084046.375,0.0
wideband_pgd,4,-11402468.0,111172.9296875,1216862.625,0.0
wideband_pgd,5,-11086482.0,108121.2890625,1183086.125,0.0
wideband_pgd,6,-11165180.0,108883.1640625,1191495.0,0.0
wideband_pgd,7,-11145487.0,108692.5703125,1189390.75,0.0
wideband_pgd,8,-11150414.0,108740.46875,1189916.875,0.0
wideband_pgd,9,-11149183.0,108728.4921875,1189785.25,0.0
wideband_pgd,10,-11149490.0,108731.6015625,1189818.0,0.0
scenario_adaptive_unfolded,1,-73909.9609375,4658.3447265625,52510.8203125,1.7029899268550253e-08
scenario_adaptive_unfolded,2,-268375.375,1599.7333984375,18319.513671875,0.0
scenario_adaptive_unfolded,3,-5697.73486328125,1599.7218017578125,18319.376953125,0.0
scenario_adaptive_unfolded,4,-150942.625,1515.9720458984375,17385.3125,0.0
scenario_adaptive_unfolded,5,-12885.2509765625,120.99053955078125,1313.6553955078125,0.0
scenario_adaptive_unfolded,6,-442.42376708984375,36.39217758178711,365.28912353515625,0.0
scenario_adaptive_unfolded,7,-46.21995162963867,2.0280370712280273,10.464223861694336,0.0
scenario_adaptive_unfolded,8,12.474589347839355,0.21093057096004486,1.4475429058074951,0.0
risk_neutral_pgd,1,22.73514747619629,11313.6123046875,97977.671875,1.419158213167293e-08
risk_neutral_pgd,2,47.52021408081055,10038.7880859375,86020.953125,0.0
risk_neutral_pgd,3,47.65095901489258,8814.9970703125,71939.40625,0.0
risk_neutral_pgd,4,50.99466323852539,11545.8466796875,102845.734375,0.0
risk_neutral_pgd,5,48.58403396606445,10193.21484375,89190.53125,0.0
risk_neutral_pgd,6,52.73042297363281,7434.12353515625,55264.8359375,0.0
risk_neutral_pgd,7,50.1303596496582,14557.2451171875,141420.796875,0.0
risk_neutral_pgd,8,52.03886413574219,12377.5458984375,115182.703125,0.0
risk_neutral_pgd,9,54.97422409057617,15682.9365234375,157060.640625,0.0
risk_neutral_pgd,10,51.1638069152832,11544.9013671875,106455.1484375,0.0
wideband_pgd,1,-337412.28125,3920.1513671875,34828.92578125,3.12214822884016e-08
wideband_pgd,2,-12867472.0,181541.625,1268046.25,0.0
wideband_pgd,3,-11578340.0,142721.71875,1179691.75,0.0
wideband_pgd,4,-12088558.0,149768.078125,1230256.5,0.0
wideband_pgd,5,-11942965.0,148216.609375,1214966.125,0.0
wideband_pgd,6,-11978950.0,148566.125,1218809.0,0.0
wideband_pgd,7,-11970001.0,148481.265625,1217849.5,0.0
wideband_pgd,8,-11972274.0,148504.828125,1218089.5,0.0
wideband_pgd,9,-11971732.0,148500.46875,1218030.0,0.0
wideband_pgd,10,-11971886.0,148502.46875,1218045.375,0.0
scenario_adaptive_unfolded,1,-48834.51953125,3920.1513671875,34828.92578125,3.12214822884016e-08
scenario_adaptive_unfolded,2,-145855.875,1034.2503662109375,9822.859375,0.0
scenario_adaptive_unfolded,3,-2995.143798828125,1034.243896484375,9822.8037109375,0.0
scenario_adaptive_unfolded,4,-82913.796875,970.570556640625,9319.421875,0.0
scenario_adaptive_unfolded,5,-5647.11328125,78.1798095703125,491.912353515625,0.0
scenario_adaptive_unfolded,6,-1293.2470703125,101.2158203125,672.4680786132812,0.0
scenario_adaptive_unfolded,7,-726.9705810546875,13.48192310333252,105.26690673828125,0.0
scenario_adaptive_unfolded,8,-169.32994079589844,2.687858819961548,25.297887802124023,0.0
risk_neutral_pgd,1,24.450681686401367,33853.29296875,390362.03125,2.2706531765948057e-08
risk_neutral_pgd,2,49.53129196166992,32228.525390625,370896.75,0.0
risk_neutral_pgd,3,48.94887161254883,30196.568359375,344565.625,0.0
risk_neutral_pgd,4,50.74875259399414,54664.41796875,639068.75,0.0
risk_neutral_pgd,5,51.961090087890625,37689.83984375,436954.625,0.0
risk_neutral_pgd,6,51.41416549682617,27756.041015625,316736.3125,0.0
risk_neutral_pgd,7,55.6540641784668,24094.630859375,273421.84375,0.0
risk_neutral_pgd,8,55.16303634643555,25080.064453125,286308.46875,0.0
risk_neutral_pgd,9,55.16621398925781,19676.42578125,218448.421875,0.0
risk_neutral_pgd,10,56.658382415771484,21578.43359375,235774.453125,0.0
wideband_pgd,1,-107841.6484375,1278.6396484375,11085.5908203125,5.676632941487014e-09
wideband_pgd,2,-5104018.5,61683.88671875,522348.9375,0.0
wideband_pgd,3,-4101385.75,45409.48828125,427533.875,0.0
wideband_pgd,4,-4354448.0,48665.53515625,453061.4375,0.0
wideband_pgd,5,-4307848.5,47984.109375,448514.1875,0.0
wideband_pgd,6,-4332863.0,48275.86328125,451094.0,0.0
wideband_pgd,7,-4336173.0,48289.125,451482.875,0.0
wideband_pgd,8,-4342025.5,48345.36328125,452109.03125,0.0
wideband_pgd,9,-4345113.0,48371.67578125,452445.6875,0.0
wideband_pgd,10,-4347429.5,48394.6875,452692.125,0.0
scenario_adaptive_unfolded,1,-15560.0,1278.6396484375,11085.5908203125,5.676632941487014e-09
scenario_adaptive_unfolded,2,-42019.34375,281.6260070800781,2840.76904296875,0.0
scenario_adaptive_unfolded,3,-853.8346557617188,281.6247863769531,2840.7568359375,0.0
scenario_adaptive_unfolded,4,-23850.75390625,266.4361267089844,2701.64697265625,0.0
scenario_adaptive_unfolded,5,-1095.245849609375,17.632583618164062,90.75141906738281,0.0
scenario_adaptive_unfolded,6,-288.26507568359375,24.32219696044922,224.73068237304688,0.0
scenario_adaptive_unfolded,7,-377.8670959472656,6.0001983642578125,56.823707580566406,0.0
scenario_adaptive_unfolded,8,-91.6396484375,1.4194468259811401,15.242048263549805,0.0
risk_neutral_pgd,1,24.136762619018555,10223.2421875,95718.171875,2.838316426334586e-08
risk_neutral_pgd,2,43.77618408203125,15331.53515625,158760.78125,0.0
risk_neutral_pgd,3,46.333858489990234,13919.34765625,143381.453125,0.0
