algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
rate_recovered_primal_dual_unfolded,11,-401.6295166015625,1.9158587455749512,21.110010147094727,0.0,12.661090850830078,64.64024353027344,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,12,-1690025.5,67592.8515625,563095.25,0.0,15.161091804504395,72.14024353027344,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,13,-1425784.25,43457.01171875,474974.25,0.0,17.3182430267334,79.64024353027344,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,14,-1510395.375,42717.64453125,503127.0625,0.0,19.814722061157227,87.14024353027344,,,,,,,,,,,,
risk_neutral_pgd,1,30.038537979125977,3837.032470703125,39608.109375,8.514949634275126e-09,,,,,,,,,,,,,,
risk_neutral_pgd,2,53.290863037109375,3712.715087890625,38730.75,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,3,57.3372802734375,3655.660400390625,38016.390625,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,4,60.17415237426758,3991.294921875,42532.296875,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,5,58.3320198059082,4152.98974609375,43995.30859375,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,6,57.9698486328125,4217.8310546875,45515.5859375,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,7,61.718257904052734,3639.704833984375,39317.578125,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,8,60.57371520996094,3862.3466796875,42127.5546875,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,9,63.90980911254883,4397.30712890625,48260.4296875,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,10,62.03639221191406,4054.385498046875,44061.71875,0.0,,,,,,,,,,,,,,
wideband_pgd,1,-204727.1875,2133.536865234375,21593.77734375,1.9868215517249155e-08,,,,,,,,,,,,,,
wideband_pgd,2,-7076927.0,78572.1953125,737296.3125,0.0,,,,,,,,,,,,,,
wideband_pgd,3,-4909510.0,52234.21875,515752.5625,0.0,,,,,,,,,,,,,,
wideband_pgd,4,-5794438.0,60186.22265625,611458.1875,0.0,,,,,,,,,,,,,,
wideband_pgd,5,-5578311.5,58015.91015625,588511.4375,0.0,,,,,,,,,,,,,,
wideband_pgd,6,-5637619.5,58639.26953125,594756.0,0.0,,,,,,,,,,,,,,
wideband_pgd,7,-5624829.5,58524.90625,593371.875,0.0,,,,,,,,,,,,,,
wideband_pgd,8,-5628796.5,58574.484375,593774.5625,0.0,,,,,,,,,,,,,,
wideband_pgd,9,-5628141.0,58574.94921875,593691.75,0.0,,,,,,,,,,,,,,
wideband_pgd,10,-5628458.0,58582.015625,593718.125,0.0,,,,,,,,,,,,,,
budgeted_primal_dual_pgd,1,-53994.3515625,2133.536865234375,21593.77734375,1.9868215517249155e-08,1.4790587425231934,7.216684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd,2,-2459238.0,82296.0390625,983673.875,0.0,2.349987268447876,8.966684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd,3,-1976930.375,66220.4921875,790732.125,0.0,3.224987268447876,10.716684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd,4,-2079229.0,69620.7734375,831631.6875,0.0,4.099987506866455,12.466684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd,5,-2075592.25,69491.8125,830156.8125,0.0,4.974987030029297,14.216684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd,6,-2080645.5,69633.2265625,832157.875,0.0,5.849987030029297,15.966684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd,7,-2083241.875,69672.6484375,833175.4375,0.0,6.724987506866455,17.716684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd,8,-2265909.0,75713.7265625,906221.0,0.0,7.599987506866455,19.466684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd,9,-2231311.25,74552.140625,892380.875,0.0,8.397677421569824,19.361230850219727,,,,,,,,,,,,
budgeted_primal_dual_pgd,10,-2245326.0,75009.96875,897948.125,0.0,9.272676467895508,21.111230850219727,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,1,-53994.3515625,2133.536865234375,21593.77734375,1.9868215517249155e-08,1.4790587425231934,7.216684341430664,10.0,0.8527178764343262,0.019999999552965164,1.0,0.00020028339349664748,-0.005000084638595581,,,,,,
budgeted_primal_dual_pgd_repair,2,-2459238.0,82296.0390625,983673.875,0.0,2.349987268447876,8.966684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,3,-1976930.375,66220.4921875,790732.125,0.0,3.224987268447876,10.716684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,4,-2079229.0,69620.7734375,831631.6875,0.0,4.099987506866455,12.466684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,5,-2075592.25,69491.8125,830156.8125,0.0,4.974987030029297,14.216684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,6,-2080645.5,69633.2265625,832157.875,0.0,5.849987030029297,15.966684341430664,,,,,,,,,,,,
