algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean
feasibility_restored_primal_dual_unfolded,9,-1749.609619140625,128.76072692871094,515.0429077148438,0.0,27.560277938842773,102.9276351928711,,,,,,
feasibility_restored_primal_dual_unfolded,10,-106645.9453125,10614.779296875,42459.1171875,0.0,28.709508895874023,108.6651382446289,,,,,,
feasibility_restored_primal_dual_unfolded,11,-85233.6484375,8470.5439453125,33882.17578125,0.0,29.857454299926758,114.40264129638672,,,,,,
risk_neutral_pgd,1,7.5535969734191895,13408.1337890625,53228.62109375,3.973643103449831e-08,,,,,,,,
risk_neutral_pgd,2,15.441346168518066,9959.2080078125,39664.26953125,0.0,,,,,,,,
risk_neutral_pgd,3,14.629059791564941,7959.3974609375,31238.693359375,0.0,,,,,,,,
risk_neutral_pgd,4,15.674115180969238,10606.853515625,42251.0859375,0.0,,,,,,,,
wideband_pgd,1,-4945.05126953125,105.36274719238281,421.45098876953125,1.3245476715439963e-08,,,,,,,,
wideband_pgd,2,-342718.1875,7292.1142578125,29168.45703125,0.0,,,,,,,,
wideband_pgd,3,-218772.78125,4654.9267578125,18619.70703125,0.0,,,,,,,,
wideband_pgd,4,-247058.96875,5256.755859375,21027.0234375,0.0,,,,,,,,
budgeted_primal_dual_pgd,1,-833.8264770507812,105.36274719238281,421.45098876953125,1.3245476715439963e-08,0.9199132919311523,2.02596378326416,,,,,,
budgeted_primal_dual_pgd,2,-71032.2109375,8879.6337890625,35518.53515625,0.0,1.2399132251739502,3.2536892890930176,,,,,,
budgeted_primal_dual_pgd,3,-52420.4375,6551.91064453125,26207.642578125,0.0,1.5599132776260376,4.853689193725586,,,,,,
budgeted_primal_dual_pgd,4,-55583.41015625,6946.1572265625,27784.62890625,0.0,1.879913330078125,6.453689098358154,,,,,,
budgeted_primal_dual_pgd,5,-55014.42578125,6874.29150390625,27497.166015625,0.0,2.199913263320923,8.053689002990723,,,,,,
budgeted_primal_dual_pgd,6,-55125.94140625,6887.02587890625,27548.103515625,0.0,2.5199131965637207,9.653688430786133,,,,,,
budgeted_primal_dual_pgd,7,-55121.05859375,6885.4814453125,27541.92578125,0.0,2.8399131298065186,11.25368881225586,,,,,,
budgeted_primal_dual_pgd,8,-55121.10546875,6884.4091796875,27537.63671875,0.0,3.2134222984313965,12.853689193725586,,,,,,
budgeted_primal_dual_pgd_repair,1,-833.8264770507812,105.36274719238281,421.45098876953125,1.3245476715439963e-08,0.9199132919311523,2.02596378326416,8.0,0.9183268547058105,0.019999999552965164,1.0,0.0014123470755293965,-0.004999935626983643
budgeted_primal_dual_pgd_repair,2,-71032.2109375,8879.6337890625,35518.53515625,0.0,1.2399132251739502,3.2536892890930176,,,,,,
budgeted_primal_dual_pgd_repair,3,-52420.4375,6551.91064453125,26207.642578125,0.0,1.5599132776260376,4.853689193725586,,,,,,
budgeted_primal_dual_pgd_repair,4,-55583.41015625,6946.1572265625,27784.62890625,0.0,1.879913330078125,6.453689098358154,,,,,,
budgeted_primal_dual_pgd_repair,5,-55014.42578125,6874.29150390625,27497.166015625,0.0,2.199913263320923,8.053689002990723,,,,,,
budgeted_primal_dual_pgd_repair,6,-55125.94140625,6887.02587890625,27548.103515625,0.0,2.5199131965637207,9.653688430786133,,,,,,
budgeted_primal_dual_pgd_repair,7,-55121.05859375,6885.4814453125,27541.92578125,0.0,2.8399131298065186,11.25368881225586,,,,,,
budgeted_primal_dual_pgd_repair,8,-55121.10546875,6884.4091796875,27537.63671875,0.0,3.2134222984313965,12.853689193725586,,,,,,
budgeted_primal_dual_pgd_repair,9,-68908.0390625,6885.5361328125,27542.14453125,0.0,4.647797584533691,18.591190338134766,,,,,,
budgeted_primal_dual_pgd_repair,10,-90566.3671875,9048.3369140625,36193.34765625,0.0,6.082172393798828,24.328689575195312,,,,,,
budgeted_primal_dual_pgd_repair,11,-87849.484375,8773.8779296875,35095.51171875,0.0,7.516547203063965,30.06618881225586,,,,,,
budget_aware_primal_dual_unfolded,1,5.332936763763428,105.36274719238281,421.45098876953125,1.3245476715439963e-08,1.6590479612350464,6.6361918449401855,,,,,,
budget_aware_primal_dual_unfolded,2,-65506.57421875,5983.25732421875,23933.029296875,0.0,3.968564510345459,15.874258041381836,,,,,,
budget_aware_primal_dual_unfolded,3,-174.4702606201172,4955.236328125,19820.9453125,0.0,7.857012748718262,31.428050994873047,,,,,,
budget_aware_primal_dual_unfolded,4,-75182.4375,4929.6259765625,19718.50390625,0.0,8.67506217956543,34.70024871826172,,,,,,
budget_aware_primal_dual_unfolded,5,-43131.63671875,11970.603515625,47882.4140625,0.0,14.32888126373291,57.31552505493164,,,,,,
budget_aware_primal_dual_unfolded,6,-461.65887451171875,13984.9560546875,55939.82421875,0.0,14.81086254119873,59.24345016479492,,,,,,
budget_aware_primal_dual_unfolded,7,-881.6077270507812,3854.458984375,15417.8359375,0.0,23.057598114013672,92.23039245605469,,,,,,
budget_aware_primal_dual_unfolded,8,-14906.5517578125,1303.9853515625,5215.94140625,0.0,25.044713973999023,100.1788558959961,,,,,,
feasibility_restored_primal_dual_unfolded,1,5.332936763763428,105.36274719238281,421.45098876953125,1.3245476715439963e-08,1.6590479612350464,6.6361918449401855,8.0,0.9183165431022644,0.019999999552965164,1.0,0.0014086910523474216,-0.0050002336502075195
feasibility_restored_primal_dual_unfolded,2,-65506.57421875,5983.25732421875,23933.029296875,0.0,3.968564510345459,15.874258041381836,,,,,,
feasibility_restored_primal_dual_unfolded,3,-174.4702606201172,4955.236328125,19820.9453125,0.0,7.857012748718262,31.428050994873047,,,,,,
feasibility_restored_primal_dual_unfolded,4,-75182.4375,4929.6259765625,19718.50390625,0.0,8.67506217956543,34.70024871826172,,,,,,
feasibility_restored_primal_dual_unfolded,5,-43131.63671875,11970.603515625,47882.4140625,0.0,14.32888126373291,57.31552505493164,,,,,,
feasibility_restored_primal_dual_unfolded,6,-461.65887451171875,13984.9560546875,55939.82421875,0.0,14.81086254119873,59.24345016479492,,,,,,
feasibility_restored_primal_dual_unfolded,7,-881.6077270507812,3854.458984375,15417.8359375,0.0,23.057598114013672,92.23039245605469,,,,,,
feasibility_restored_primal_dual_unfolded,8,-14906.5517578125,1303.9853515625,5215.94140625,0.0,25.044713973999023,100.1788558959961,,,,,,
feasibility_restored_primal_dual_unfolded,9,-2748.443603515625,226.03451538085938,904.1380615234375,0.0,26.479089736938477,105.9163589477539,,,,,,
feasibility_restored_primal_dual_unfolded,10,-107190.859375,10666.9169921875,42667.66796875,0.0,27.91346549987793,111.65386199951172,,,,,,
feasibility_restored_primal_dual_unfolded,11,-86464.09375,8591.392578125,34365.5703125,0.0,29.347841262817383,117.39136505126953,,,,,,
