algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max
risk_neutral_pgd,4,51.12601852416992,2762.7685546875,18240.302734375,0.0,,
risk_neutral_pgd,5,50.482574462890625,3621.891357421875,29959.63671875,0.0,,
risk_neutral_pgd,6,49.37502670288086,3469.873779296875,26237.375,0.0,,
risk_neutral_pgd,7,51.44157791137695,3234.490234375,25157.005859375,0.0,,
risk_neutral_pgd,8,51.29524612426758,2879.158203125,22103.671875,0.0,,
risk_neutral_pgd,9,52.1016731262207,2946.601318359375,22817.93359375,0.0,,
risk_neutral_pgd,10,52.104461669921875,2952.6513671875,22705.47265625,0.0,,
wideband_pgd,1,-113028.6015625,1560.8199462890625,11205.16015625,1.419158213167293e-08,,
wideband_pgd,2,-3515787.75,46281.98046875,352697.78125,0.0,,
wideband_pgd,3,-2382330.75,31219.375,239257.53125,0.0,,
wideband_pgd,4,-2683253.5,35398.08203125,269037.71875,0.0,,
wideband_pgd,5,-2613440.75,34560.078125,261881.859375,0.0,,
wideband_pgd,6,-2633133.25,34889.9296875,263725.0,0.0,,
wideband_pgd,7,-2629326.5,34877.7109375,263272.28125,0.0,,
wideband_pgd,8,-2630910.5,34922.20703125,263386.5625,0.0,,
wideband_pgd,9,-2630884.5,34935.71875,263358.1875,0.0,,
wideband_pgd,10,-2631103.75,34946.54296875,263365.28125,0.0,,
budgeted_primal_dual_pgd,1,-16803.0,1560.8199462890625,11205.16015625,1.419158213167293e-08,1.2623257637023926,5.8146843910217285
budgeted_primal_dual_pgd,2,-614848.0625,34654.5625,409880.3125,0.0,1.9677201509475708,7.3146843910217285
budgeted_primal_dual_pgd,3,-456497.1875,25803.251953125,304294.46875,0.0,2.6208980083465576,8.074980735778809
budgeted_primal_dual_pgd,4,-493018.3125,27800.4140625,328609.1875,0.0,3.347036361694336,9.574980735778809
budgeted_primal_dual_pgd,5,-486730.0625,27476.869140625,324387.0,0.0,4.082466125488281,11.074980735778809
budgeted_primal_dual_pgd,6,-488194.5,27508.697265625,325335.1875,0.0,4.810007572174072,12.442994117736816
budgeted_primal_dual_pgd,7,-487978.0,27386.630859375,325160.3125,0.0,5.5456929206848145,13.942994117736816
budgeted_primal_dual_pgd,8,-488081.59375,27423.873046875,325199.375,0.0,6.281582355499268,15.442994117736816
budget_aware_primal_dual_unfolded,1,-34.46993637084961,1560.8199462890625,11205.16015625,1.419158213167293e-08,3.278231620788574,6.873139381408691
budget_aware_primal_dual_unfolded,2,-925244.4375,29652.453125,355207.625,0.0,9.017928123474121,19.78588104248047
budget_aware_primal_dual_unfolded,3,-948.46240234375,23772.408203125,284688.625,0.0,23.815933227539062,52.4752197265625
budget_aware_primal_dual_unfolded,4,-897599.8125,23094.40625,276565.71875,0.0,27.11054039001465,59.688697814941406
budget_aware_primal_dual_unfolded,5,-59028.69921875,39032.20703125,463366.21875,0.0,41.248653411865234,93.24238586425781
budget_aware_primal_dual_unfolded,6,-2451.22802734375,783.2236328125,7476.41943359375,0.0,42.326908111572266,95.63507843017578
budget_aware_primal_dual_unfolded,7,-2445.575927734375,23.531822204589844,132.59234619140625,0.0,64.05706787109375,145.45477294921875
budget_aware_primal_dual_unfolded,8,-3903.6142578125,17.74437141418457,90.14473724365234,0.0,69.24927520751953,156.88905334472656
risk_neutral_pgd,1,27.952104568481445,4042.998046875,42490.890625,2.838316426334586e-08,,
risk_neutral_pgd,2,53.015106201171875,3795.490966796875,39567.4921875,0.0,,
risk_neutral_pgd,3,50.78369140625,3443.470947265625,35282.53125,0.0,,
risk_neutral_pgd,4,57.16281509399414,3400.552490234375,35049.24609375,0.0,,
risk_neutral_pgd,5,54.38542175292969,2997.361083984375,30035.986328125,0.0,,
risk_neutral_pgd,6,56.764347076416016,2925.364501953125,29233.365234375,0.0,,
risk_neutral_pgd,7,55.44443130493164,2907.068603515625,28532.18359375,0.0,,
risk_neutral_pgd,8,58.38834762573242,2939.445068359375,29133.84375,0.0,,
risk_neutral_pgd,9,57.57855224609375,2829.454345703125,27944.806640625,0.0,,
risk_neutral_pgd,10,59.79563522338867,2975.3212890625,30106.546875,0.0,,
wideband_pgd,1,-229545.328125,2156.86083984375,24652.314453125,1.7029899268550253e-08,,
wideband_pgd,2,-4849781.0,49141.58203125,514086.5,0.0,,
wideband_pgd,3,-3550255.5,34555.20703125,378994.6875,0.0,,
wideband_pgd,4,-4186133.0,39475.00390625,449254.65625,0.0,,
wideband_pgd,5,-4020115.0,37910.30859375,431435.75,0.0,,
wideband_pgd,6,-4061349.75,38297.41796875,435864.375,0.0,,
wideband_pgd,7,-4051054.25,38202.53515625,434755.4375,0.0,,
wideband_pgd,8,-4053646.0,38227.5625,435032.59375,0.0,,
wideband_pgd,9,-4053007.25,38221.859375,434963.28125,0.0,,
wideband_pgd,10,-4053177.0,38223.91015625,434980.6875,0.0,,
budgeted_primal_dual_pgd,1,-36969.12890625,2156.86083984375,24652.314453125,1.7029899268550253e-08,1.2541049718856812,6.348836898803711
budgeted_primal_dual_pgd,2,-900257.6875,50113.796875,600160.4375,0.0,1.9430164098739624,7.848836898803711
budgeted_primal_dual_pgd,3,-686440.875,38238.92578125,457588.3125,0.0,2.653123617172241,9.348836898803711
budgeted_primal_dual_pgd,4,-742793.8125,41385.41015625,495129.71875,0.0,3.361583709716797,10.848836898803711
budgeted_primal_dual_pgd,5,-736558.75,41037.59765625,490941.34375,0.0,4.099083423614502,12.348836898803711
budgeted_primal_dual_pgd,6,-739677.4375,41201.80859375,492992.53125,0.0,4.836583614349365,13.848836898803711
budgeted_primal_dual_pgd,7,-740820.9375,41250.1015625,493725.84375,0.0,5.57408332824707,15.348836898803711
budgeted_primal_dual_pgd,8,-783552.8125,43596.6015625,522183.375,0.0,6.311583042144775,16.84883689880371
budget_aware_primal_dual_unfolded,1,-130.3280487060547,2156.86083984375,24652.314453125,1.7029899268550253e-08,3.2631676197052,6.832720756530762
budget_aware_primal_dual_unfolded,2,-1725309.125,56553.41015625,678395.875,0.0,8.511937141418457,19.73088836669922
budget_aware_primal_dual_unfolded,3,-1439.861572265625,43523.70703125,522055.0625,0.0,21.794469833374023,52.41055679321289
budget_aware_primal_dual_unfolded,4,-1591130.5,41877.09375,502300.90625,0.0,24.732431411743164,59.65447998046875
budget_aware_primal_dual_unfolded,5,-94399.125,58808.57421875,703537.6875,0.0,40.82681655883789,93.155029296875
budget_aware_primal_dual_unfolded,6,-2377.219482421875,630.5833129882812,6596.48681640625,0.0,41.963314056396484,95.56776428222656
budget_aware_primal_dual_unfolded,7,-2236.635498046875,28.30010986328125,168.3726806640625,0.0,62.58500289916992,145.4072723388672
budget_aware_primal_dual_unfolded,8,-3438.5078125,20.104896545410156,106.17753601074219,0.0,67.08619689941406,156.82186889648438
risk_neutral_pgd,1,21.68999671936035,1025.3114013671875,4177.5986328125,2.554484801464696e-08,,
risk_neutral_pgd,2,45.5737190246582,968.9921875,3725.09716796875,0.0,,
risk_neutral_pgd,3,44.70344924926758,860.03076171875,3273.828125,0.0,,
risk_neutral_pgd,4,46.669586181640625,809.0783081054688,2785.67822265625,0.0,,
risk_neutral_pgd,5,48.96458053588867,877.2750854492188,3238.10693359375,0.0,,
risk_neutral_pgd,6,50.26035690307617,796.983642578125,2659.193603515625,0.0,,
risk_neutral_pgd,7,51.25919723510742,735.709716796875,2511.6201171875,0.0,,
risk_neutral_pgd,8,56.26883316040039,732.64453125,2305.583984375,0.0,,
risk_neutral_pgd,9,56.12166976928711,769.6535034179688,2526.1357421875,0.0,,
risk_neutral_pgd,10,55.32398986816406,724.4918823242188,2394.8505859375,0.0,,
wideband_pgd,1,-50651.13671875,947.8419799804688,4556.68505859375,2.838316470743507e-09,,
wideband_pgd,2,-3282964.75,50895.671875,314943.4375,0.0,,
wideband_pgd,3,-2175470.75,35593.95703125,205196.9375,0.0,,
wideband_pgd,4,-3605544.0,42676.84375,370675.21875,0.0,,
wideband_pgd,5,-3200703.25,38867.83203125,327211.84375,0.0,,
wideband_pgd,6,-3301165.5,39891.30859375,337850.6875,0.0,,
wideband_pgd,7,-3277051.5,39697.9921875,335198.8125,0.0,,
wideband_pgd,8,-3283746.5,39787.4375,335867.96875,0.0,,
wideband_pgd,9,-3282467.25,39790.4453125,335702.4375,0.0,,
wideband_pgd,10,-3283017.75,39804.8203125,335744.3125,0.0,,
budgeted_primal_dual_pgd,1,-6848.05224609375,947.8419799804688,4556.68505859375,2.838316470743507e-09,1.4921199083328247,4.385037422180176
budgeted_primal_dual_pgd,2,-198883.609375,11615.984375,132552.21875,0.0,2.4335296154022217,5.885037422180176
budgeted_primal_dual_pgd,3,-183843.90625,10667.96875,122492.46875,0.0,3.372746706008911,7.385037422180176
budgeted_primal_dual_pgd,4,-323700.5,18279.091796875,215693.625,0.0,4.302919387817383,8.885037422180176
budgeted_primal_dual_pgd,5,-282621.78125,15966.2041015625,188279.75,0.0,5.174891948699951,10.385037422180176
budgeted_primal_dual_pgd,6,-290371.53125,16385.572265625,193404.0,0.0,6.076481342315674,11.885037422180176
budgeted_primal_dual_pgd,7,-288884.5,16287.1201171875,192386.46875,0.0,6.956569671630859,13.385037422180176
budgeted_primal_dual_pgd,8,-289242.0625,16315.8916015625,192589.96875,0.0,7.828758239746094,14.885037422180176
budget_aware_primal_dual_unfolded,1,-15.41668701171875,947.8419799804688,4556.68505859375,2.838316470743507e-09,3.940774917602539,6.302675247192383
budget_aware_primal_dual_unfolded,2,-314280.53125,10580.337890625,126714.0234375,0.0,8.801628112792969,18.054197311401367
budget_aware_primal_dual_unfolded,3,-714.756591796875,8167.15380859375,96601.109375,0.0,24.745635986328125,48.01719665527344
budget_aware_primal_dual_unfolded,4,-286151.9375,7885.326171875,93273.3515625,0.0,28.291067123413086,54.61161804199219
budget_aware_primal_dual_unfolded,5,-30569.271484375,21429.298828125,198641.15625,0.0,46.45242691040039,85.34440612792969
budget_aware_primal_dual_unfolded,6,-2805.074951171875,2407.110595703125,25886.5625,0.0,47.87266159057617,87.6250991821289
budget_aware_primal_dual_unfolded,7,-1366.8616943359375,197.44297790527344,2283.015380859375,0.0,59.2875862121582,133.62661743164062
budget_aware_primal_dual_unfolded,8,-4885.052734375,165.37513732910156,1779.2718505859375,0.0,64.56217193603516,144.05056762695312
risk_neutral_pgd,1,25.26244354248047,6634.84375,70645.421875,1.9868215517249155e-08,,
risk_neutral_pgd,2,49.17087173461914,6827.45751953125,72415.234375,0.0,,
risk_neutral_pgd,3,48.082889556884766,6756.53466796875,71594.0234375,0.0,,
risk_neutral_pgd,4,49.96613693237305,6526.70556640625,69063.15625,0.0,,
risk_neutral_pgd,5,50.43662643432617,7886.30419921875,87295.171875,0.0,,
risk_neutral_pgd,6,50.7176628112793,7701.63232421875,83649.546875,0.0,,
risk_neutral_pgd,7,50.735748291015625,8719.9482421875,93617.875,0.0,,
risk_neutral_pgd,8,50.191890716552734,6945.06689453125,74389.9921875,0.0,,
risk_neutral_pgd,9,49.84504699707031,6257.38916015625,66151.8125,0.0,,
risk_neutral_pgd,10,50.770694732666016,5797.17041015625,61274.9140625,0.0,,
wideband_pgd,1,-116255.84375,1488.341796875,11744.26171875,8.514949634275126e-09,,
wideband_pgd,2,-10807187.0,108447.5,1147562.75,0.0,,
wideband_pgd,3,-6498984.5,68707.7578125,683549.25,0.0,,
wideband_pgd,4,-8101340.5,83016.9140625,857013.75,0.0,,
wideband_pgd,5,-7875181.5,80461.6953125,833534.625,0.0,,
wideband_pgd,6,-7930653.5,81052.921875,839360.1875,0.0,,
wideband_pgd,7,-7917065.0,80925.6171875,837900.3125,0.0,,
wideband_pgd,8,-7920673.0,80971.75,838264.9375,0.0,,
wideband_pgd,9,-7919907.0,80969.015625,838174.125,0.0,,
wideband_pgd,10,-7920168.5,80974.3359375,838196.6875,0.0,,
budgeted_primal_dual_pgd,1,-17607.916015625,1488.341796875,11744.26171875,8.514949634275126e-09,1.3498424291610718,7.84881591796875
budgeted_primal_dual_pgd,2,-1913595.625,106634.3515625,1275713.375,0.0,2.1403448581695557,9.34881591796875
budgeted_primal_dual_pgd,3,-1281559.25,71516.390625,854337.9375,0.0,2.7963340282440186,10.84881591796875
budgeted_primal_dual_pgd,4,-1398241.375,77989.859375,932108.5625,0.0,3.3879051208496094,12.34881591796875
budgeted_primal_dual_pgd,5,-1374573.875,76669.9609375,916296.5,0.0,4.038375377655029,13.84881591796875
budgeted_primal_dual_pgd,6,-1379343.0,76918.734375,919455.375,0.0,4.651596546173096,15.34881591796875
budgeted_primal_dual_pgd,7,-1378347.625,76891.8828125,918758.9375,0.0,5.3020124435424805,16.84881591796875
budgeted_primal_dual_pgd,8,-1378691.375,77046.3671875,918962.75,0.0,5.952477931976318,18.34881591796875
budget_aware_primal_dual_unfolded,1,-40.70982360839844,1488.341796875,11744.26171875,8.514949634275126e-09,3.6740729808807373,6.92829704284668
budget_aware_primal_dual_unfolded,2,-5080572.0,163355.1875,1958947.375,0.0,10.32572078704834,19.99878692626953
budget_aware_primal_dual_unfolded,3,-3126.505859375,133943.171875,1606075.375,0.0,26.97243309020996,53.105709075927734
budget_aware_primal_dual_unfolded,4,-5057260.0,130451.6640625,1564197.875,0.0,30.65389060974121,60.45780563354492
budget_aware_primal_dual_unfolded,5,-253246.28125,168508.375,2017863.0,0.0,43.80424880981445,94.3740234375
budget_aware_primal_dual_unfolded,6,-2400.548095703125,1960.2227783203125,19393.6015625,0.0,44.8677978515625,96.80610656738281
budget_aware_primal_dual_unfolded,7,-2452.666015625,146.6077117919922,797.3043212890625,0.0,66.6418685913086,147.22259521484375
budget_aware_primal_dual_unfolded,8,-4359.5068359375,121.6679458618164,574.9097900390625,0.0,71.6829605102539,158.8133544921875
risk_neutral_pgd,1,21.86113929748535,2121.069091796875,18510.1953125,2.838316426334586e-08,,
risk_neutral_pgd,2,43.91520309448242,1954.42919921875,16634.7109375,0.0,,
risk_neutral_pgd,3,44.56258010864258,1616.5931396484375,13504.5625,0.0,,
risk_neutral_pgd,4,48.56379318237305,1428.3031005859375,11621.056640625,0.0,,
risk_neutral_pgd,5,48.34336471557617,1275.524169921875,10521.4326171875,0.0,,
risk_neutral_pgd,6,49.00340270996094,1323.207763671875,11620.3203125,0.0,,
risk_neutral_pgd,7,50.78635787963867,1707.55615234375,13752.0927734375,0.0,,
risk_neutral_pgd,8,48.154754638671875,1733.8533935546875,13571.12109375,0.0,,
risk_neutral_pgd,9,50.54146194458008,1617.1455078125,11881.9501953125,0.0,,
risk_neutral_pgd,10,50.344512939453125,1629.0096435546875,12117.97265625,0.0,,
wideband_pgd,1,-19727.8515625,269.9426574707031,1962.31982421875,1.9868215517249155e-08,,
wideband_pgd,2,-1840318.75,18915.513671875,194576.6875,0.0,,
wideband_pgd,3,-1129133.75,11884.2021484375,118862.34375,0.0,,
wideband_pgd,4,-1291085.625,13531.05859375,136018.09375,0.0,,
wideband_pgd,5,-1249674.125,13115.8828125,131619.84375,0.0,,
wideband_pgd,6,-1259996.25,13221.7529296875,132711.796875,0.0,,
wideband_pgd,7,-1257442.75,13197.0,132438.890625,0.0,,
wideband_pgd,8,-1258082.375,13204.0244140625,132505.8125,0.0,,
wideband_pgd,9,-1257955.0,13203.6669921875,132490.546875,0.0,,
wideband_pgd,10,-1257987.125,13204.32421875,132493.3125,0.0,,
budgeted_primal_dual_pgd,1,-2924.73974609375,269.9426574707031,1962.31982421875,1.9868215517249155e-08,1.0184334516525269,5.120598316192627
budgeted_primal_dual_pgd,2,-336278.21875,18773.91015625,224184.40625,0.0,1.4777787923812866,4.820598125457764
budgeted_primal_dual_pgd,3,-228821.1875,12797.08984375,152535.84375,0.0,1.8868699073791504,6.043684959411621
budgeted_primal_dual_pgd,4,-248687.78125,13895.1865234375,165764.84375,0.0,2.2866370677948,7.543684959411621
budgeted_primal_dual_pgd,5,-244676.71875,13666.71484375,163075.0,0.0,2.6898488998413086,9.043684959411621
budgeted_primal_dual_pgd,6,-245503.9375,13710.0205078125,163611.1875,0.0,3.0918655395507812,10.543684959411621
budgeted_primal_dual_pgd,7,-245370.1875,13701.0126953125,163503.890625,0.0,3.4937245845794678,12.043684959411621
budgeted_primal_dual_pgd,8,-245427.359375,13703.5517578125,163525.890625,0.0,3.8952810764312744,13.543684959411621
budget_aware_primal_dual_unfolded,1,8.42016887664795,269.9426574707031,1962.31982421875,1.9868215517249155e-08,2.243255376815796,6.744988918304443
budget_aware_primal_dual_unfolded,2,-21682.421875,723.6455078125,8398.4052734375,0.0,6.346769332885742,19.457477569580078
budget_aware_primal_dual_unfolded,3,-353.0653991699219,323.7503662109375,3618.16455078125,0.0,16.885746002197266,51.771705627441406
budget_aware_primal_dual_unfolded,4,-12216.3515625,314.4468688964844,3511.9736328125,0.0,19.210145950317383,58.94699478149414
budget_aware_primal_dual_unfolded,5,-47055.23046875,30007.880859375,359435.6875,0.0,28.654802322387695,92.07538604736328
budget_aware_primal_dual_unfolded,6,-1695.9188232421875,213.27088928222656,2062.196533203125,0.0,29.44415283203125,94.49120330810547
budget_aware_primal_dual_unfolded,7,-1548.3045654296875,11.315346717834473,66.04972839355469,0.0,43.840091705322266,143.76806640625
budget_aware_primal_dual_unfolded,8,-2659.84912109375,12.762530326843262,60.011138916015625,0.0,47.5126838684082,155.02838134765625
risk_neutral_pgd,1,21.697221755981445,6823.57861328125,42936.8671875,2.838316426334586e-08,,
risk_neutral_pgd,2,35.954410552978516,6718.72705078125,40971.65625,0.0,,
risk_neutral_pgd,3,41.73100662231445,6403.626953125,38633.83203125,0.0,,
risk_neutral_pgd,4,41.244014739990234,5411.36083984375,30626.66796875,0.0,,
risk_neutral_pgd,5,42.149017333984375,5504.06298828125,32830.4765625,0.0,,
risk_neutral_pgd,6,43.8250846862793,6552.42138671875,37977.078125,0.0,,
risk_neutral_pgd,7,45.36445999145508,6455.66552734375,40183.7734375,0.0,,
risk_neutral_pgd,8,45.56674575805664,6494.6875,40122.66796875,0.0,,
risk_neutral_pgd,9,44.92123794555664,6986.74658203125,44654.74609375,0.0,,
risk_neutral_pgd,10,49.287288665771484,6555.509765625,41387.96875,0.0,,
wideband_pgd,1,-259208.71875,4431.50537109375,24094.537109375,1.1353265882974029e-08,,
wideband_pgd,2,-16324395.0,261759.671875,1549752.0,0.0,,
wideband_pgd,3,-11086519.0,177331.859375,1053319.25,0.0,,
wideband_pgd,4,-13068301.0,205415.203125,1248385.375,0.0,,
wideband_pgd,5,-12796022.0,200712.453125,1223168.0,0.0,,
wideband_pgd,6,-12938400.0,202698.203125,1237242.0,0.0,,
wideband_pgd,7,-12935278.0,202569.921875,1237092.25,0.0,,
wideband_pgd,8,-12953763.0,202805.421875,1238961.375,0.0,,
wideband_pgd,9,-12959281.0,202863.453125,1239542.25,0.0,,
wideband_pgd,10,-12963736.0,202916.703125,1239999.25,0.0,,
budgeted_primal_dual_pgd,1,-36154.6484375,4431.50537109375,24094.537109375,1.1353265882974029e-08,1.6133736371994019,5.849698066711426
budgeted_primal_dual_pgd,2,-2026496.5,114698.2109375,1350950.25,0.0,2.7078354358673096,7.349698066711426
budgeted_primal_dual_pgd,3,-1403029.75,79866.7578125,935266.0625,0.0,3.8163087368011475,8.849698066711426
budgeted_primal_dual_pgd,4,-1535977.25,87277.8125,1023855.625,0.0,4.925539493560791,10.349698066711426
budgeted_primal_dual_pgd,5,-1521395.375,86412.953125,1014091.875,0.0,6.0365142822265625,11.849698066711426
budgeted_primal_dual_pgd,6,-1532906.0,87052.4453125,1021720.875,0.0,7.146909236907959,13.349698066711426
budgeted_primal_dual_pgd,7,-1536180.125,87358.1328125,1023863.1875,0.0,8.248164176940918,14.849698066711426
budgeted_primal_dual_pgd,8,-1538861.625,89595.59375,1025618.75,0.0,9.301012992858887,16.34969711303711
budget_aware_primal_dual_unfolded,1,-137.682861328125,4431.50537109375,24094.537109375,1.1353265882974029e-08,4.610641956329346,6.570816993713379
budget_aware_primal_dual_unfolded,2,-5418991.0,178533.265625,2140508.75,0.0,12.73840618133545,18.943134307861328
budget_aware_primal_dual_unfolded,3,-4127.60400390625,139402.078125,1671070.75,0.0,33.3311767578125,50.42243194580078
budget_aware_primal_dual_unfolded,4,-5063803.5,134546.203125,1612846.125,0.0,37.877525329589844,57.39409255981445
budget_aware_primal_dual_unfolded,5,-287938.96875,177630.125,2116245.75,0.0,61.62302780151367,89.652099609375
budget_aware_primal_dual_unfolded,6,-3603.18408203125,1328.2486572265625,8749.212890625,0.0,63.26910400390625,92.02169036865234
budget_aware_primal_dual_unfolded,7,-3627.66259765625,85.9511947631836,369.5224304199219,0.0,95.64309692382812,140.14700317382812
